0.000000	110	8	02	20	2e	13	00	18	13	00
0.000177	300	8	00	03	00	90	00	46	15	01
0.000406	120	8	00	32	23	28	16	4e	70	00
0.001468	140	8	83	03	20	fc	dd	00	00	00
0.001685	280	8	03	9c	03	9e	03	99	03	9b
0.004577	180	6	a0	45	ff	e8	f2	00
0.010492	110	8	02	20	3a	13	00	18	13	00
0.010725	120	8	00	32	33	28	16	4e	70	00
0.010970	1a0	8	00	0c	30	61	00	00	00	00
0.011466	140	8	80	03	20	fc	e0	00	00	00
0.011698	280	8	03	99	03	98	03	9b	03	9e
0.014551	180	6	a0	4b	ff	e8	fc	00
0.019911	110	8	02	20	3a	13	00	18	13	00
0.020144	120	8	00	32	33	28	16	4e	70	00
0.021466	140	8	81	03	20	fc	df	00	00	00
0.021695	280	8	03	98	03	9a	03	9a	03	99
0.024549	180	6	a0	b1	ff	e8	06	00
0.029909	110	8	02	20	2e	13	00	18	13	00
0.030143	120	8	00	32	33	28	16	4e	70	00
0.031461	140	8	82	03	20	fc	de	00	00	00
0.031696	280	8	03	99	03	97	03	9a	03	97
0.031940	290	8	12	00	0d	00	13	80	0e	00
0.034564	180	6	a0	a7	ff	e8	10	00
0.039899	110	8	02	20	3b	13	00	18	13	00
0.040131	120	8	00	32	43	28	16	4e	70	00
0.041456	140	8	83	03	20	fc	dd	00	00	00
0.041690	280	8	03	9c	03	9b	03	95	03	96
0.041880	383	5	2c	00	00	40	ff
0.044575	180	6	a0	ad	ff	e8	1a	00
0.049832	110	8	02	20	3b	13	00	18	13	00
0.050066	120	8	00	32	43	28	16	4e	70	00
0.051458	140	8	80	03	20	fc	e0	00	00	00
0.051691	280	8	03	9a	03	98	03	95	03	98
0.054633	180	6	a0	93	ff	e8	24	00
0.059862	110	8	02	20	29	13	00	18	13	00
0.060096	120	8	00	32	43	28	16	4e	70	00
0.060339	1a0	8	00	0c	30	61	00	00	00	00
0.061458	140	8	81	03	20	fc	df	00	00	00
0.061691	280	8	03	98	03	9a	03	96	03	95
0.064550	180	6	a0	99	ff	e8	2e	00
0.069841	110	8	02	20	34	13	00	18	13	00
0.070073	120	8	00	32	43	28	16	4e	70	00
0.070317	301	8	00	00	19	00	00	51	03	00
0.071453	140	8	82	03	20	fc	de	00	00	00
0.071687	280	8	03	9b	03	97	03	96	03	93
0.074553	180	6	a0	8f	ff	e8	38	00
0.079877	110	8	02	20	34	13	00	18	13	00
0.080111	120	8	00	32	43	28	16	4e	70	00
0.081445	140	8	83	03	20	fc	dd	00	00	00
0.081681	280	8	03	9a	03	9a	03	96	03	94
0.084523	380	8	30	ba	5e	00	c3	fb	00	00
0.084742	180	6	a0	f5	ff	e8	42	00
0.085017	381	8	09	7f	00	a0	02	74	00	04
0.089882	110	8	02	20	23	13	00	18	13	00
0.090122	410	8	00	0d	a3	38	a0	39	9c	00
0.090355	120	8	00	32	53	28	16	4e	70	00
0.091465	140	8	80	03	20	fc	e0	00	00	00
0.091701	280	8	03	9b	03	99	03	92	03	94
0.094554	180	6	a0	fb	ff	e8	4c	00
0.099918	110	8	02	20	2e	13	00	18	13	00
0.100159	300	8	00	03	00	90	00	46	16	01
0.100393	120	8	00	32	53	28	16	4e	70	00
0.101458	140	8	81	03	20	fc	df	00	00	00
0.101692	280	8	03	99	03	98	03	94	03	97
0.104570	180	6	a0	e1	ff	e8	56	00
0.109910	110	8	02	20	2e	13	00	18	13	00
0.110146	120	8	00	32	53	28	16	4e	70	00
0.110389	1a0	8	00	0c	30	61	00	00	00	00
0.111451	140	8	82	03	20	fc	de	00	00	00
0.111681	280	8	03	9a	03	99	03	96	03	97
0.114553	180	6	a0	d7	ff	e8	60	00
0.119964	110	8	02	20	1e	13	00	18	13	00
0.120197	120	8	00	32	53	28	16	4e	70	00
0.121467	140	8	83	03	20	fc	dd	00	00	00
0.121697	280	8	03	98	03	98	03	98	03	90
0.124552	180	6	a0	dd	ff	e8	6a	00
0.129924	110	8	02	20	29	13	00	18	13	00
0.130159	120	8	00	32	53	28	16	4e	70	00
0.131465	140	8	80	03	20	fc	e0	00	00	00
0.131697	280	8	03	98	03	96	03	94	03	96
